Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
A. Garcia,Wanderers,RB,26,0,2025-12-31,29,2383,1,1.72,Uruguay,Uruguay,right,178,0,no
P. López,Miramar Misiones,"LCB, LB",23,0,2025-12-31,29,2376,3,2.05,Uruguay,Uruguay,left,179,82,no
F. Pizzichillo,Torque,"RB, RCMF",29,500000,,31,2359,1,2.01,Uruguay,"Uruguay, Italy",right,177,70,no
E. Redín,Plaza Colonia,RB,30,325000,,30,2339,0,0.04,Uruguay,Uruguay,right,182,78,no
E. Busquets,Torque,"RB, LB",25,325000,,29,2335,3,1.56,Uruguay,"Uruguay, Italy",right,173,69,no
S. da Silva,Miramar Misiones,CF,23,0,2027-12-31,31,2331,6,6.92,Uruguay,Uruguay,right,181,74,no
A. Vera,River Plate,"AMF, RCMF, LW",21,0,2025-12-31,33,2300,3,3.82,Uruguay,Uruguay,left,175,67,no
A. Anello,Boston River,"LW, LAMF, LWF",23,0,2027-06-30,34,2294,9,8.23,United States,"United States, Italy",right,182,77,no
E. Remedi,Peñarol,"RDMF, LDMF, RCMF",30,1300000,2026-12-31,31,2294,1,0.71,Argentina,"Argentina, United States",right,170,71,no
L. Carrizo,Plaza Colonia,"LW, CF, LAMF",22,0,2025-12-31,33,2278,2,5.25,Uruguay,Uruguay,right,0,0,no
F. de León,River Plate,"RW, RAMF",21,0,2025-12-31,31,2262,1,4.13,Uruguay,Uruguay,right,177,0,no
S. Cáceres,Cerro,"RCMF, RW, AMF",25,250000,,30,2250,2,1.51,Uruguay,Uruguay,right,178,67,no
M. Acosta Fernández,Wanderers,"RCB, RB",22,0,2026-12-31,28,2229,1,0.92,Uruguay,Uruguay,,0,0,no
D. Morosini,Juventud,RCB,21,0,2027-12-31,27,2226,1,0.89,Uruguay,Uruguay,,0,0,no
Ó. Díaz,Miramar Misiones,"LCMF, RCMF, DMF",22,0,2025-12-31,27,2221,1,1.51,Uruguay,Uruguay,right,0,0,no
E. Obregón,Torque,"RWF, RW, RAMF",24,500000,2027-12-31,32,2209,2,3.41,Argentina,Argentina,right,177,69,no
A. Frugone,Cerro,LB,20,0,2025-12-31,28,2205,0,0.09,Uruguay,Uruguay,unknown,0,0,no
M. Lorenzi Gómez,Plaza Colonia,RCB,24,0,2025-12-31,28,2192,2,2.19,Uruguay,Uruguay,right,178,0,no
L. Sosa,Danubio,"LB, LCMF",34,250000,,28,2160,0,0.19,Uruguay,"Uruguay, Italy",left,177,68,no
S. Núñez,Danubio,"CF, LW",25,550000,2027-07-31,36,2155,5,6.49,Uruguay,Uruguay,right,177,75,yes
