Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Wesley,Al Rayyan,Al Rayyan,"LAMF, LW, LCMF",26,5500000,7,598,17.46,44.83,right,175,3.01,2.56,58.82,1.81,75,0.3,0.15,1.2,1.82,1.05,4.52,0.15,0.15,0.32,0,3.01,35,5,0.3,1.96,61.54,4.21,53.57,11.29,37.33,4.06,3.91,0.6,17.61,1.35,1.35,21.97,82.19,5.12,64.71,85.04,1.2,62.5,0.3,1.51,0.15,0.3,0.3,0.9,2.71,66.67,2.71,72.22,0.15,0,1.51,1.05,3.01,85,0,0,0,0,0,0
Khaled Waleed,Umm Salal,Umm Salal,"RAMF, LCMF, RCMF",25,175000,7,593,11.99,43.04,right,0,7.44,6.98,56.52,1.52,20,0,0.46,3.49,3.9,0.61,0.76,0,0,0.11,0,0.76,20,0,0,0.76,60,0.61,25,2.88,15.79,0.76,0.46,0.15,15.03,0.91,0.3,21.25,75.71,6.98,63.04,79.66,2.58,52.94,0.01,0.15,0,0,0,0,1.67,63.64,0.91,50,0,0,0.15,0.61,3.19,52.38,0,0,0,0,0,0
Musab Al-Battat,Qatar SC,Qatar SC,"RB, LB",32,0,7,590,13.73,62.22,right,168,10.53,9.46,66.13,1.83,75,0,0.15,4.27,6.27,1.37,1.53,0,0,0.01,0,0.31,50,0,0,2.75,38.89,1.22,25,1.53,30,0.15,0.76,0.15,19.68,0.92,0.46,30.51,74.5,14.8,65.98,84,5.19,47.06,0.01,0.31,0,0,0,0.15,5.19,61.76,2.44,43.75,0.46,66.67,0.46,0.92,8.24,74.07,0,0,0,0,0,0
Abdalla Yousif,Al Rayyan,Al Rayyan,RB,23,0,7,588,13.32,50.57,right,0,7.65,6.73,59.09,2.76,38.89,0.61,0.15,3.06,4.8,0.92,1.68,0,0,0.02,0,0.15,0,0,0,3.06,25,1.07,85.71,2.45,56.25,0.77,0.92,0,21.89,1.84,0.61,29.39,77.08,9.03,67.8,86.79,1.99,38.46,0.07,0.46,0,0,0.15,0.31,3.21,52.38,2.45,31.25,0.15,0,0.15,0.77,4.59,73.33,0,0,0,0,0,0
N. Sliti,Al Shamal,Al Shamal,"LAMF, LW",33,4200000,7,586,16.13,42.86,right,173,4.91,4.3,64.29,1.23,37.5,0,0,2.15,3.13,0.77,3.84,0,0,0.1,0,1.23,37.5,0,0.15,2.15,50,4.45,48.28,9.68,34.92,3.07,3.38,0.31,23.34,2.15,1.08,33.33,76.5,8.29,59.26,80.95,2.46,37.5,0.21,2.61,0.15,0,0.15,0.77,4.45,55.17,2.76,77.78,0.15,100,1.69,1.08,5.99,89.74,0.77,0.15,0,2.92,0,0
Ahmed Alaa,Al Rayyan,Al Rayyan,CF,32,500000,10,585,14.15,33.7,right,177,3.23,2.92,42.11,3.23,42.86,0.15,0,1.85,3.3,1.85,2,0.46,0.46,0.25,0.15,1.23,50,37.5,0.31,0.77,60,0.92,83.33,6.15,30,2.77,0.62,0.15,8,1.08,0.77,12,74.36,1.38,77.78,76.06,0.31,50,0.14,1.08,0.15,0,0.15,0.31,0.92,100,0.92,66.67,0.15,100,0.46,0.31,1.08,85.71,0,0,0,0,0,0
Omar Yahya,Al Sailiya,Al Sailiya,LB,33,125000,7,574,13.95,51.69,left,173,9.41,8.62,56.36,2.51,62.5,0.16,0.31,4.39,5.15,0.78,0.31,0,0,0,0,0,0,0,0,0.94,33.33,0.47,0,1.41,22.22,0.16,0.78,0,15.21,0.31,0.47,23.52,79.33,13.33,72.94,86.07,3.45,54.55,0.01,0.31,0,0,0,0,6.27,72.5,0.94,50,0,0,0.16,0.31,6.9,81.82,0.47,0,0,0.63,0,0
A. Mance,Umm Salal,Umm Salal,CF,30,650000,7,573,19.48,47.58,right,189,1.88,1.57,40,4.08,57.69,0,0.16,1.26,1.5,2.04,4.08,0.16,0.16,0.45,0,4.4,42.86,3.571,0.31,0.79,20,3.3,61.9,10.37,48.48,4.55,1.26,0,8.64,1.57,1.88,13.19,63.1,2.36,46.67,66.23,0.31,50,0.16,0.79,0,0,0,0.47,0.94,33.33,0.94,50,0,0,0.47,0.16,0.79,80,0,0,0,0,0,0
Suhaib Gannan,Al Ahli,Al Ahli,"RW, RAMF, LW",21,0,6,569,20.25,41.41,,0,7.43,6.96,54.55,2.06,15.38,0,0.32,3.64,5.11,2.21,2.06,0.32,0.32,0.16,0,0.95,50,33.333,0.16,0.95,16.67,3.01,47.37,9.65,37.7,1.74,2.69,0.16,21.51,1.42,0.79,30.37,80.73,7.59,64.58,85.88,1.58,20,0.01,0.16,0,0,0,0.16,2.37,60,1.42,33.33,0.32,0,0.47,0.16,3.32,52.38,0,0,0,0.16,0,0
Rafa Mújica,Al Sadd,Al Sadd,CF,27,8000000,8,562,12.65,30.38,right,183,2.56,2.4,53.33,2.08,15.38,0,0.16,1.28,2.53,1.92,1.44,0.32,0.16,0.56,0,2.4,33.33,13.333,0,0.48,0,1.6,40,6.25,30.77,4,0.16,0,8.01,1.12,1.28,10.41,76.92,1.76,72.73,81.97,0.16,0,0.05,0.64,0.16,0,0,0.48,0.8,60,0.48,100,0,0,0.64,0,0.64,75,0,0,0,0,1,100
Muniesa,Al Shahaniya,Al Shahaniya,LCB,33,0,6,559,8.86,63.64,left,180,6.92,3.54,68.18,1.93,33.33,0.32,0.16,4.19,5.45,0.64,0.48,0,0,0,0,0.16,0,0,0,0.32,50,0.32,100,1.29,87.5,0.64,1.29,0,31.72,0.16,0.64,44.6,84.84,21.09,74.81,93.91,7.25,40,0,0,0,0,0,0,6.44,55,0.32,0,0.48,33.33,0.16,0.32,9.98,75.81,0,0,0,0,0,0
Sultan Al Brake,Al Duhail,Al Duhail,LB,29,400000,7,554,9.1,58.93,left,175,6.34,3.74,65.22,1.95,58.33,0.65,0.32,3.25,5.45,0.81,1.3,0.16,0.16,0.12,0,1.46,33.33,11.111,0.32,1.95,25,0.32,100,2.27,42.86,1.46,1.3,0,32.65,1.79,0.97,43.05,83.77,18.68,83.48,88.89,3.09,57.89,0.06,0.65,0.16,0,0,0.32,6.5,80,1.95,25,0.16,0,0.16,0.32,9.75,73.33,0.16,0.16,0,0,0,0
Ahmed El Sayed,Umm Salal,Umm Salal,"LDMF, LCMF",35,100000,9,553,9.11,53.57,left,180,9.6,6.18,52.63,1.14,57.14,0.98,0.81,5.37,6.27,1.14,0.33,0,0,0,0,0.16,0,0,0,0.16,0,0.33,100,1.3,50,0,0,0,17.9,0,0.49,27.34,90.48,9.76,83.33,91.36,0.81,80,0,0.16,0,0.16,0,0,2.93,77.78,0.49,0,0,0,0.16,0.16,2.6,62.5,0,0,0,0,0,0
Tiago Silva,Al Rayyan,Al Rayyan,"LDMF, RDMF, RCMF",32,3000000,7,543,12.76,48.05,right,172,4.31,4.64,60.71,0.83,20,0.17,0,1.33,2.16,1.49,1.16,0,0,0.02,0,0.5,0,0,0.5,1.33,37.5,0.99,50,4.97,46.67,0.83,0.99,0.17,37.96,0,2.32,50.39,85.53,21.05,78.74,90.08,5.64,61.76,0.14,1.66,0,0,0.5,0.83,8.62,84.62,3.15,42.11,1.33,50,1.33,0.5,9.28,80.36,0.83,0,0,3.48,0,0
Mohamed Gouda,Al Arabi,Al Arabi,"LAMF, LW, AMF",20,0,10,542,23.91,44.44,unknown,0,4.98,5.48,57.58,1,66.67,0,0,1.83,3.08,1,4.48,0,0,0.03,0,1,33.33,0,0,2.66,18.75,6.97,52.38,16.27,39.8,3.99,4.82,0,18.6,1.99,2.82,24.41,80.95,2.16,76.92,89.23,0.33,0,0.14,1.16,0.33,0,0,0.66,0.33,100,1.33,25,0,0,1,0.5,1.83,54.55,0,0,0,0,0,0
Almahdi Ali,Al Wakrah,Al Wakrah,"LCB, RCB",33,200000,7,542,9.63,55.17,right,180,4.98,3.32,65,3.99,54.17,0.33,0.17,2.49,4.37,1.16,0.17,0,0,0.1,0,0.5,0,0,0,0,0,0.17,100,0.33,50,0.83,1.33,0.17,24.74,0.33,0.33,36.37,82.19,16.11,67.01,88.14,4.15,36,0,0,0,0,0,0,4.82,68.97,0.33,0,0.17,0,0.17,0,6.14,59.46,0,0,0,0,0,0
J. Jawad,Al Shahaniya,Al Shahaniya,"CF, AMF, LAMF",23,0,9,536,22.16,44.7,unknown,0,5.37,4.53,55.56,0.34,50,0.17,0.17,2.69,3.58,1.01,5.88,0,0,0.18,0,2.69,25,0,0.17,2.01,25,7.56,62.22,16.12,43.75,1.68,5.04,0.67,23.34,1.68,2.01,30.22,82.22,7.56,66.67,89.24,1.68,40,0.06,0.5,0,0,0.67,0.5,4.03,62.5,2.52,53.33,0.67,0,0.84,0.5,4.03,75,0.34,0.17,0,1.01,0,0
A. Soría,Al Sadd,Al Sadd,"RCMF, RB",20,0,8,536,9.91,40.68,right,175,5.54,4.87,51.72,1.18,28.57,0.17,0.17,2.85,4.32,0.5,0.84,0.17,0.17,0.13,0,1.51,22.22,11.111,0.17,0.5,66.67,0.17,100,2.35,28.57,0.84,1.01,0,18.81,1.01,0.17,26.53,87.97,8.23,79.59,89.19,1.18,71.43,0.05,0.5,0.17,0,0,0.17,3.36,90,1.34,75,0,0,0.34,0.34,3.69,77.27,0,0,0,0,0,0
Claudinho,Al Sadd,Al Sadd,"AMF, LDMF",28,18000000,6,533,9.96,45.76,right,172,3.21,2.7,68.75,0.51,66.67,0,0,1.35,2.7,0.84,2.36,0.34,0.34,0.11,0.17,1.18,71.43,28.571,0.51,2.2,15.38,1.86,45.45,5.07,33.33,1.52,1.35,0,46.1,1.69,0.34,54.2,84.74,14.35,75.29,89.3,6.25,75.68,0.14,1.52,0.17,0,0.68,0.84,8.27,67.35,4.39,65.38,0.68,75,1.86,0.34,7.77,86.96,0,0,0,1.01,0,0
F. Díaz,Al Gharafa,Al Gharafa,"LCMF, RCMF, LDMF",22,0,8,530,11.38,53.73,right,176,7.64,4.92,68.97,1.53,33.33,0.34,0.34,3.91,6.27,1.02,0.51,0,0,0.12,0,0.51,0,0,0,0.68,50,0.34,50,3.06,44.44,0.85,0.51,0,29.72,0.51,1.36,43.13,87.8,11.21,78.79,91.27,3.91,56.52,0.08,0.51,0,0,0,0,7.13,90.48,0.51,66.67,0,0,0.17,0.17,5.94,71.43,0,0,0,0,0,0
Abdalaziz Hazaa,Umm Salal,Umm Salal,LB,26,0,7,525,10.8,46.03,left,186,7.2,5.31,45.16,1.2,14.29,0.17,0.17,4.63,5.33,1.03,1.2,0,0,0,0,0,0,0,0,1.03,16.67,1.71,60,3.43,55,0.51,1.2,0,12.86,0.51,0.17,20.06,69.23,8.06,70.21,83.15,3.77,27.27,0.02,0.34,0,0.17,0,0,3.94,52.17,1.03,16.67,0.17,0,0.17,0.17,5.83,64.71,0,0,0,0,0,0
Mohammed Saleh,Al Rayyan,Al Rayyan,"LCB, RCB",32,275000,8,519,8.67,54,right,186,6.76,3.12,66.67,3.64,57.14,0.17,0.69,4.51,6.78,0.52,0.17,0,0,0,0,0.35,0,0,0,0.35,0,0.17,100,0.87,40,0.35,0,0,30.17,0.17,0.17,41.79,87.97,20.46,83.9,93.03,6.59,65.79,0.01,0.17,0.17,0,0,0,6.07,74.29,1.04,33.33,0.87,60,0.17,0.17,10.58,77.05,0,0,0,0,0,0
A. Pérez,Al Arabi,Al Arabi,"LCB, CB",31,2500000,5,519,8.32,50,left,181,5.38,2.77,43.75,2.77,56.25,0.35,0.17,3.82,5.95,0.87,0.35,0,0,0.01,0,0.17,0,0,0,0.35,50,0.35,50,1.21,42.86,0.69,0.35,0,31.91,0.35,0.52,43.87,87.75,21.85,82.54,94.5,8.84,62.75,0,0,0.17,0,0,0,4.51,69.23,0.69,25,0,0,0,0,7.46,76.74,0,0,0,0,0,0
Y. Snana,Al Sailiya,Al Sailiya,"CF, LAMF",21,0,7,519,10.06,48.28,right,183,2.43,0.87,0,5.2,63.33,0,0.17,2.43,2.86,0,1.21,0.35,0.17,0.41,0,2.08,58.33,16.667,0,0.35,0,0.17,0,1.91,27.27,3.82,0.17,0,12.31,2.08,0.87,18.38,71.7,4.34,52,76.29,1.21,28.57,0.07,1.21,0,0,0.17,0.17,1.91,54.55,1.04,16.67,0.35,0,0.87,0,2.43,92.86,0,0,0,0,1,100
Lucas Veríssimo,Al Wakrah,Al Wakrah,RCB,30,6000000,7,517,8.88,74.51,right,188,6.44,4.35,72,3.13,77.78,0.7,0.52,2.61,4.84,0.7,0.17,0,0,0.03,0,0.35,0,0,0,0.17,100,0,0,0.52,100,0.7,0.17,0,20.54,0.7,0.7,34.12,85.71,15.15,75.86,92.68,5.4,48.39,0,0.17,0,0,0,0,4,52.17,0.52,0,0.7,0,0,0.17,6.09,65.71,0,0,0,0,0,0
P. Kimpembe,Qatar SC,Qatar SC,LCB,30,12000000,6,514,11.21,57.81,left,183,7.18,6.13,51.43,1.93,63.64,0.7,0.35,3.33,5.43,1.4,0.18,0,0,0,0,0,0,0,0,0.35,50,0,0,1.93,63.64,0,0.18,0,20.49,0,1.23,33.44,87.96,17.68,79.21,93.25,4.55,57.69,0.01,0.18,0,0,0,0,4.55,69.23,0.7,50,0.35,50,0,0.35,7.18,70.73,0,0,0,0,0,0
Artur Jorge,Al Shahaniya,Al Shahaniya,"LCB, RCB",31,400000,7,512,6.86,61.54,right,186,6.15,3.87,54.55,1.05,83.33,0.35,0.35,3.69,5.21,0.88,0.18,0,0,0.01,0,0.18,0,0,0,0,0,0.18,100,0.53,66.67,0.18,0,0,28.3,0,0.53,41.48,85.59,16.17,72.83,93.26,7.56,51.16,0,0,0,0,0,0,4.39,52,0.53,33.33,0.53,33.33,0.18,0,5.1,68.97,0,0,0,0,0,0
R. Saïss,Al Sadd,Al Sadd,LCB,35,3200000,6,507,5.68,65.63,left,188,7.1,1.78,70,2.49,64.29,0.36,0.18,5.5,10.45,0.71,0.36,0,0,0.06,0,0.18,100,0,0,0.36,0,0,0,0.36,100,0.36,1.78,0,44.2,0.71,0.36,59.11,91.29,28.22,84.91,95.36,9.05,72.55,0,0,0,0.18,0.18,0.18,9.59,77.78,1.24,14.29,0.36,50,0.18,0,14.02,84.81,0,0,0,0,0,0
Gabriel Pereira,Al Rayyan,Al Rayyan,"RAMF, RW, RCMF",24,7000000,10,504,19.64,53.64,left,175,3.04,3.93,59.09,1.25,28.57,0,0,0.71,1.11,0.36,5.18,0,0,0.27,0,1.61,33.33,0,0.18,2.5,28.57,4.82,74.07,13.04,56.16,3.75,4.46,0.71,15.36,1.96,3.39,23.57,78.03,5.36,66.67,89.11,3.21,55.56,0.12,0.54,0.36,0.18,0.36,0.36,3.21,55.56,3.75,42.86,1.43,50,1.43,0.71,3.04,82.35,0.89,0,0,1.43,0,0
M. Sherif,Al Arabi,Al Arabi,"LB, RCB",19,0,5,493,15.15,54.22,,0,9.31,7.48,68.29,2.01,27.27,0.18,0.18,4.02,6.29,0.55,0.73,0,0,0,0,0,0,0,0.18,0.73,25,1.28,42.86,3.29,38.89,0.91,0.73,0.37,23.91,0,1.1,33.23,80.22,10.77,62.71,84.81,3.65,55,0.02,0.37,0,0,0,0.18,4.56,60,1.46,37.5,0.37,50,0.55,0.18,5.48,60,0,0,0,0,0,0
J. Aholou,Umm Salal,Umm Salal,"RCMF, RDMF, DMF",31,800000,7,492,11.34,53.23,right,186,7.68,4.76,69.23,1.83,40,0,0.55,4.39,5.63,2.01,0.91,0,0,0.01,0,0.18,100,0,0,0,0,1.1,66.67,2.93,56.25,0.55,0.37,0.18,15.18,0,0.55,26.16,85.31,9.51,80.77,87.41,1.46,50,0,0.18,0,0.18,0,0,2.74,93.33,0.37,0,0,0,0,0,3.48,68.42,0,0,0,0,0,0
Álvaro Djaló,Al Gharafa,Al Gharafa,"RWB, RW, RCMF",26,15000000,9,492,21.59,41.53,right,175,3.84,6.95,42.11,2.01,27.27,0,0,0.91,1.53,2.56,4.39,0,0,0.33,0,2.2,58.33,0,0,4.57,24,3.11,64.71,10.79,44.07,2.38,2.56,0,15,2.2,1.65,21.4,69.23,3.66,50,83.15,0.91,40,0.08,0.73,0,0,0,0.18,1.46,50,3.66,40,0,0,1.28,0.91,3.66,85,0,0,0,0.18,0,0
A. Amraoui,Al Ahli,Al Ahli,LCB,21,0,6,485,10.21,74.55,left,184,6.68,4.08,86.36,2.41,76.92,0.19,0.37,2.97,4.21,0,0.56,0,0,0.08,0,0.19,0,0,0,0.74,50,0.19,100,1.86,60,0.19,0.56,0,33.03,0.19,0.37,44.91,86.78,20.78,78.57,94.2,5.75,41.94,0,0.19,0,0,0,0,4.64,48,1.86,20,1.11,16.67,0,0.37,10.21,72.73,0,0,0,0,0,0
Jassem Mohammed,Al Ahli,Al Ahli,"RB, RCB",30,0,7,483,10.62,59.65,right,172,9.13,6.52,65.71,1.68,55.56,0,0.56,4.84,6.9,1.3,0.37,0,0,0,0,0,0,0,0,1.3,14.29,0,0,0.93,20,0.19,0,0.19,20.87,2.05,0.19,28.14,74.17,11.74,66.67,85.71,4.66,36,0,0.19,0,0,0.19,0,4.29,65.22,2.05,18.18,0.37,50,0.19,0.19,5.4,62.07,0,0,0,0,0,0
Khalid Mohammed,Al Ahli,Al Ahli,"LAMF, LCMF, RW",25,300000,6,483,12.86,49.28,right,165,3.91,3.17,64.71,1.86,30,0,0.37,1.86,2.8,0.93,1.68,0,0,0.04,0,0.93,40,0,0,0.37,50,1.68,66.67,6.34,44.12,0.93,1.12,0.56,25.71,1.12,1.68,33.17,93.82,4.1,90.91,95.78,1.86,70,0.03,0.19,0,0.37,0.19,0,2.61,78.57,0.56,66.67,0,0,0.37,0.19,2.24,58.33,0,0,0,0,0,0
Javi Hernández,Al Arabi,Al Arabi,"LB, LCB",27,2500000,9,482,8.78,44.68,left,183,3.73,3.92,42.86,1.68,55.56,0,0.19,2.05,3.51,1.49,0.75,0,0,0.19,0,0.75,25,0,0,0.56,0,0.93,60,2.43,46.15,0.75,1.12,0,28.57,1.87,0.37,39.21,83.33,16.62,70.79,90.81,4.11,31.82,0.02,0.19,0,0,0,0,5.23,64.29,1.31,28.57,0,0,0.37,0,5.41,79.31,0,0,0,0,0,0
Lotfi Madjer,Al Shahaniya,Al Shahaniya,"LW, RAMF, RW",23,0,8,474,19.56,39.81,right,0,7.78,6.08,56.25,2.09,18.18,0.38,0.19,3.99,5.04,1.52,2.28,0,0,0.09,0,0.95,20,0,0,2.28,16.67,3.42,50,9.3,34.69,2.85,1.71,0.38,16.52,2.66,1.52,22.59,70.59,5.13,59.26,78.64,0.95,20,0.06,0.76,0,0,0,0.38,1.9,50,2.66,21.43,0,0,0.38,0.38,2.09,63.64,0,0,0,0,0,0
Homam Al Amin,Al Duhail,Al Duhail,LB,26,500000,7,473,11.99,53.97,left,186,5.71,5.14,62.96,1.14,100,0.19,0.19,2.28,4.39,0.76,1.71,0,0,0.1,0,1.14,50,0,0,2.85,20,0.95,60,4.76,36,1.71,1.9,0.57,27.59,2.85,1.33,37.67,87.88,10.08,79.25,97.02,3.04,50,0.03,0.38,0.19,0,0,0.19,4.95,84.62,2.66,42.86,0,0,0.76,0.38,5.14,85.19,0,0,0,0,0,0
Rodrigo,Al Rayyan,Al Rayyan,"RAMF, RCMF",34,4500000,7,469,12.67,50,left,182,4.61,2.69,57.14,3.07,37.5,0,0,3.07,4.57,0.58,2.49,0.38,0.38,0.5,0,2.11,36.36,18.182,0.19,1.54,50,1.34,57.14,5.18,55.56,2.3,0.58,0,19.77,1.54,2.11,27.25,72.54,8.25,53.49,77.5,2.88,40,0.15,1.15,0.19,0,0.38,0.77,4.99,53.85,3.45,61.11,1.15,50,1.73,0.77,5.18,81.48,0,0,0,0,0,0
Karim Boudiaf,Al Duhail,Al Duhail,"RDMF, LDMF, LCMF",35,350000,7,460,9,43.48,right,190,3.72,2.35,58.33,2.54,53.85,0,0.2,2.35,4.68,1.17,1.37,0.2,0.2,0.15,0.2,0.98,80,20,0,0.59,100,0,0,2.35,16.67,1.57,0.78,0,47.93,1.37,0.78,62.22,90.57,21.91,83.93,91.95,3.33,64.71,0.2,0.98,0,0,0,0.2,11.74,81.67,2.74,71.43,0.2,100,1.37,0.59,11.93,86.89,0,0,0,0,0,0
Ahmed Suhail,Al Sadd,Al Sadd,"RCB, LCB",26,150000,7,452,7.17,52.78,right,183,5.18,2.19,45.45,2.99,60,0,0.4,4.18,6.92,1,0.4,0,0,0.01,0,0.4,50,0,0,0.2,0,0.2,100,0.8,100,0,0.8,0.2,35.44,0.4,0.4,45.8,84.78,15.93,72.5,93.03,5.77,27.59,0.01,0.2,0,0,0,0.2,5.38,44.44,1,0,0.2,0,0,0,5.97,60,0,0,0,0,0,0
Nasser Ibrahim,Al Ahli,Al Ahli,"RAMF, RW, CF",30,250000,6,451,12.77,43.75,left,163,2.99,3.79,57.89,0.8,0,0,0,0.8,1.33,0.6,1.6,0,0,0.1,0,1,0,0,0,1.6,50,1.8,44.44,7.38,40.54,2,1,0.4,28.34,2,0.8,34.92,86.86,6.19,77.42,89.81,2,70,0.06,0.8,0,0,0,0.4,2.59,92.31,2,90,0,0,1.2,0.8,5.39,81.48,0,0,0,0,0,0
Alhassan Koroma,Bani Yas,Al Shahaniya,"RW, RAMF",25,250000,6,451,21.95,39.09,left,182,5.19,4.99,68,1.6,25,0,0,1.8,2.35,1,3.59,0,0,0.21,0,2.39,33.33,0,0,2.59,23.08,4.99,44,13.97,32.86,2.59,2.39,0.4,15.17,2.2,1,21.15,76.42,3.79,68.42,84.09,1,80,0.03,0.4,0,0,0,0,1.8,66.67,2,50,0,0,0.8,0.6,2.79,42.86,0.4,0.2,100,0.6,0,0
M. Camara,Al Sadd,Al Sadd,"RDMF, DMF, RCMF",25,20000000,7,451,12.57,61.9,right,173,5.39,3.79,52.63,1.2,66.67,0.2,0.4,3.19,5.52,0.8,0.6,0,0,0.04,0,0.8,50,0,0,0.2,0,0.4,50,5.79,65.52,0.2,0.2,0,28.94,0.2,3.39,35.32,92.66,11.97,86.67,94.58,2,70,0,0.2,0,0.2,0,0.2,2.99,93.33,0.4,50,0,0,0.4,0,4.79,75,0,0,0,0,0,0
I. Lihadji,Al Arabi,Al Arabi,"LAMF, LW, LWB",23,900000,10,441,19.18,48.94,left,177,6.12,5.1,72,2.45,41.67,0,0,2.45,3.83,1.22,4.9,0.2,0.2,0.12,0.2,1.22,50,16.667,0.2,2.86,21.43,5.92,58.62,10.61,40.38,2.45,3.06,0.82,14.9,0.82,0.82,22.04,73.15,5.71,75,80.22,0.82,100,0.16,1.63,0,0,0.2,0.82,2.04,70,3.67,55.56,0.2,100,1.63,0.41,4.08,85,0,0,0,0,0,0
Abdulaziz Hatem,Al Rayyan,Al Rayyan,"LDMF, AMF, DMF",35,350000,7,437,11.12,51.85,left,185,4.12,3.91,63.16,2.27,45.45,0.21,0,1.44,1.94,1.44,0.82,0,0,0.12,0,0.82,0,0,0,0.41,0,0.82,75,3.5,52.94,1.03,0.41,0,17.71,0.21,1.44,24.51,84.87,8.65,76.19,89.42,2.68,61.54,0.07,0.41,0,0,0.21,0.21,5.15,76,1.03,20,0.62,33.33,0.21,0,3.71,88.89,0.41,0,0,1.03,0,0
Boualem Khoukhi,Al Sadd,Al Sadd,"CB, RCB",35,300000,6,433,7.07,64.71,right,180,6.65,1.25,100,3.74,61.11,0,0.42,5.4,8.3,0.42,0.83,0.21,0.21,0.1,0,1.04,60,20,0,0,0,0.42,50,1.87,55.56,1.25,0.21,0,26.81,0.21,0.83,39.7,89.01,16.63,82.5,94.67,4.57,45.45,0.01,0.21,0,0,0,0.21,4.16,65,0.83,50,0.62,66.67,0.42,0,5.4,73.08,0.42,0.42,50,0,0,0
Hadi Ali,Al Sailiya,Al Sailiya,"RW, RAMF, LW",24,0,9,431,17.12,43.9,right,0,5.22,6.26,60,2.09,30,0,0,1.46,1.53,0.63,2.09,0.21,0.21,0.08,0,0.63,33.33,33.333,0,0.63,66.67,1.67,87.5,6.47,35.48,1.67,1.46,0.21,8.77,1.67,0.42,14.62,80,2.92,64.29,83.87,1.25,50,0.01,0.21,0,0,0,0,0.84,50,0.63,66.67,0,0,0.63,0.21,2.09,60,0,0,0,0.63,0,0
S. Yansane,Al Ahli,Al Ahli,CF,22,0,10,420,20.36,31.58,right,184,4.29,3.21,53.33,3,28.57,0,0.21,2.57,3.91,1.5,1.71,0.21,0.21,0.21,0,1.5,14.29,14.286,0.21,0.86,25,3,42.86,11.57,22.22,3.86,0.64,0,17.14,2.14,0.86,20.36,81.05,2.57,41.67,83.33,0.21,100,0.12,0.64,0,0,0,0.21,1.29,50,0.64,33.33,0,0,0.86,0.21,1.29,66.67,0,0,0,0,0,0
Jasem Al Hail,Al Arabi,Al Arabi,GK,33,350000,5,418,0.43,100,right,0,2.15,0,0,0.22,100,0,0,2.15,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,11.63,0.22,0.22,16.15,81.33,8.83,68.29,97.96,5.6,50,0,0,0,0,0,0,1.08,40,0,0,0,0,0,0,3.66,52.94,,,,0,0,0
N. Al Hadrami,Qatar SC,Qatar SC,"AMF, LAMF, RAMF",24,0,9,416,13.41,40.32,right,180,8.22,7.79,50,1.51,28.57,0.22,0.22,4.11,5.82,2.38,0.65,0,0,0.02,0,0.65,0,0,0,0.87,50,0.87,25,3.03,21.43,0.22,0.43,0,13.2,0.22,0.65,21.2,78.57,4.98,73.91,80.68,1.3,66.67,0.05,1.08,0,0,0,0.43,2.81,61.54,0.65,100,0,0,0.22,0.43,2.81,69.23,0,0,0,0.22,0,0
L. Badji,Umm Salal,Umm Salal,GK,22,0,4,414,0.87,75,left,190,1.52,0,0,0.43,100,0,0,1.52,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,50,0,0,0,6.96,0,0.22,12.61,56.9,11.3,53.85,79.17,7.39,41.18,0,0,0,0,0,0,5.22,41.67,0.87,0,0.43,0,0,0,5.65,69.23,,,,0,0,0
Jehad Mohammad Hudib,Umm Salal,Umm Salal,GK,25,50000,4,410,0.44,100,right,178,2.2,0,0,0.22,100,0,0,2.2,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,7.46,0.22,0.22,13.83,66.67,10.54,62.5,96,8.34,47.37,0,0,0,0,0,0,1.1,60,0.22,0,0,0,0,0,6.59,50,,,,0,0,0
